Site,Latitude,Longitude,Elevation,Type
1,9.116033,79.70088,64,Experimental
2,9.149867,79.73233,46,Experimental
3,9.152933,79.73668,72,Experimental
4,9.161133,79.74955,58,Environmental
5,9.125417,79.71382,74,Environmental
6,9.1276,79.7143,63,Environmental
7,9.153667,79.73773,55,Environmental
8,9.13,79.716,41,Environmental
9,9.129383,79.71587,65,Environmental
10,9.12875,79.71515,61,Environmental
11,9.149133,79.73137,43,Environmental
12,9.1493,79.73132,61,Environmental
13,9.1652,79.8369,44,Environmental
14,9.1162,79.69833,69,Environmental
